Mass_fraction_of_co2,Mass_fraction_of_h2o,Points:0,Points:1,Points:2,Temperature,Velocity:0,Velocity:1,Velocity:2
0.00012501,0.0016311,0.55272,1.7844,-0.87774,295.19,0.14704,0.1126,-0.014523
0.00012766,0.0015708,0.6193,1.8529,-0.61693,295.12,0.002509,0.084006,0.0071291
0.000127,0.0016065,0.55311,1.8232,-0.76435,295.15,0.090708,0.097388,-0.026646
0.00012654,0.0016081,0.54957,1.8362,-0.86036,295.19,0.11837,0.1107,-0.0055309
0.00013162,0.0015141,0.58869,1.9022,-0.65046,295.12,-0.12453,0.065498,0.07551
0.00013279,0.0015202,0.58916,1.8849,-0.58808,295.12,-0.099081,0.04579,0.067964
0.00013836,0.0014742,0.53586,1.9288,-0.67672,295.14,-0.2222,0.048672,0.10162
0.00012575,0.0015825,0.62896,1.8509,-0.66861,295.12,0.023707,0.10226,-0.0052494
0.00012972,0.0015524,0.54204,1.8983,-0.78486,295.17,-0.0060971,0.094664,0.0077082
0.00012754,0.0015423,0.55376,1.9126,-0.84229,295.19,-0.017984,0.11255,0.0261
0.0001265,0.0016254,0.55758,1.8162,-0.96378,295.3,0.1737,0.11968,0.00069263
0.00012832,0.0015493,0.58554,1.8943,-0.74327,295.14,-0.032881,0.099555,0.022918
0.00012689,0.0015895,0.5726,1.8628,-0.78881,295.16,0.065373,0.11005,-0.0053273
0.00012495,0.0015637,0.56871,1.901,-0.90359,295.23,0.048795,0.1128,0.031632
0.00013352,0.001475,0.51424,1.9512,-0.80792,295.18,-0.19109,0.085176,0.042707
0.00014978,0.0013831,0.57136,1.9549,-0.55865,295.14,-0.44847,0.0078061,0.33533
0.00014525,0.0013952,0.57349,1.9556,-0.61716,295.14,-0.4354,0.021027,0.27116
0.00012658,0.0015993,0.56312,1.8684,-0.96181,295.31,0.139,0.10852,0.013503
0.00013614,0.001443,0.57018,1.9494,-0.71362,295.14,-0.32426,0.068471,0.13296
0.00012469,0.0015862,0.61814,1.874,-0.79239,295.15,0.05563,0.13373,0.0047733
0.00012335,0.0014667,0.58206,1.9584,-0.87885,295.2,-0.20743,0.12399,0.050998
0.00012585,0.0014774,0.60284,1.9529,-0.82832,295.16,-0.20228,0.12805,0.060434
0.00013108,0.0014513,0.59196,1.9529,-0.7634,295.14,-0.29458,0.093357,0.10049
0.0001632,0.001316,0.53807,2.004,-0.68161,295.19,-0.72621,0.035629,0.31435
0.00012199,0.0015572,0.63767,1.9131,-0.87674,295.19,0.015096,0.14617,0.03801
0.00011728,0.0014569,0.5572,1.942,-0.95984,295.33,-0.22097,0.071373,0.034824
0.00013542,0.0013386,0.57634,2.004,-0.84441,295.17,-0.64826,0.10244,0.070991
0.00014605,0.0013443,0.5403,2.004,-0.79156,295.18,-0.63488,0.077359,0.13152
0.00012912,0.0013255,0.55697,2.004,-0.89565,295.21,-0.66193,0.10444,0.031268
0.00011418,0.001432,0.61958,1.9593,-0.93108,295.26,-0.28415,0.090419,0.055149
0.00012334,0.0015688,0.59505,1.9013,-0.96175,295.33,0.075764,0.087847,0.033272
0.00015243,0.0013148,0.56405,2.004,-0.74231,295.17,-0.74804,0.056514,0.23476
0.00020511,0.0012774,0.53912,2.0524,-0.65843,295.32,-0.82196,0.039616,0.39441
0.00012907,0.0013178,0.63473,2.004,-0.84539,295.14,-0.74433,0.11308,0.079143
0.00012215,0.0013138,0.61287,2.004,-0.89649,295.18,-0.70895,0.11483,0.017568
0.00011112,0.0012486,0.59559,2.004,-0.94803,295.24,-0.8796,0.069929,-0.00032945
0.00019616,0.0012599,0.56398,2.0497,-0.70597,295.29,-0.91669,0.036865,0.35853
0.00010515,0.0013598,0.61261,1.957,-1,296.18,0,0,0
0.00011362,0.0014701,0.62845,1.9336,-0.9659,295.34,-0.17744,0.048366,0.04058
0.00011835,0.0015022,0.57654,1.9214,-1,296.46,0,0,0
